No,Ro,Lv,Part,Type,PN,A
769,11,novice,vocab,short-single,12,1
770,11,novice,vocab,short-single,13,4
771,11,novice,vocab,short-single,14,2
772,11,novice,vocab,short-single,15,4
773,11,novice,vocab,short-multi,16,1
774,11,novice,vocab,short-multi,17,4
775,11,novice,vocab,short-multi,18,1
776,11,novice,vocab,short-multi,19,3
777,11,novice,vocab,short-multi,20,1
778,11,novice,vocab,short-multi,21,1
779,11,novice,vocab,short-multi,22,2
780,11,novice,vocab,long-multi,25,4
781,11,novice,vocab,long-multi,26,3
782,11,novice,vocab,long-multi,27,3
783,11,novice,vocab,long-multi,28,2
784,11,novice,vocab,long-single,29,3
785,11,novice,vocab,long-single,30,1
786,11,novice,writing,short-multi,31,2
787,11,novice,writing,short-multi,32,1
788,11,novice,writing,short-multi,33,1
789,11,novice,writing,short-multi,34,1
790,11,novice,writing,short-multi,35,2
791,11,novice,writing,long-single,38,4
792,12,novice,reading,short-single,37,2
793,12,novice,reading,short-single,38,3
794,12,novice,reading,short-single,39,1
795,12,novice,reading,short-single,40,4
796,12,novice,vocab,short-multi,3,2
797,12,novice,vocab,short-multi,5,4
798,12,novice,vocab,short-multi,6,3
799,12,novice,vocab,short-multi,7,1
800,12,novice,vocab,short-multi,8,4
801,12,novice,vocab,short-single,9,2
802,12,novice,vocab,short-single,10,3
803,12,novice,vocab,short-single,11,4
804,12,novice,vocab,short-single,12,3
805,12,novice,vocab,short-single,13,2
806,12,novice,vocab,short-single,14,1
807,12,novice,vocab,short-single,15,1
808,12,novice,vocab,short-multi,16,3
809,12,novice,vocab,short-multi,17,2
810,12,novice,vocab,short-multi,18,4
811,12,novice,vocab,short-multi,19,3
812,12,novice,vocab,short-multi,20,3
813,12,novice,vocab,short-multi,21,1
814,12,novice,vocab,short-multi,22,2
815,12,novice,vocab,long-multi,25,4
816,12,novice,vocab,long-multi,26,1
817,12,novice,vocab,long-multi,27,3
818,12,novice,vocab,long-multi,28,1
819,12,novice,vocab,long-single,29,4
820,12,novice,vocab,long-single,30,3
821,12,novice,writing,short-multi,31,3
822,12,novice,writing,short-multi,32,1
823,12,novice,writing,short-multi,33,1
824,12,novice,writing,short-multi,34,4
825,12,novice,writing,short-multi,35,4
826,12,novice,writing,short-multi,38,2
827,13,novice,reading,short-single,37,1
828,13,novice,reading,short-single,38,4
829,13,novice,reading,short-single,39,2
830,13,novice,reading,short-single,40,3
831,13,novice,reading,long-single,57,3
832,13,novice,reading,long-single,59,1
833,13,novice,vocab,short-multi,3,3
834,13,novice,vocab,short-multi,4,1
835,13,novice,vocab,short-multi,5,2
836,13,novice,vocab,short-multi,6,2
837,13,novice,vocab,short-multi,7,4
838,13,novice,vocab,short-multi,8,1
839,13,novice,vocab,short-single,9,4
840,13,novice,vocab,short-single,10,3
841,13,novice,vocab,short-single,11,3
842,13,novice,vocab,short-single,12,2
843,13,novice,vocab,short-single,13,1
844,13,novice,vocab,short-single,14,3
845,13,novice,vocab,short-single,15,2
846,13,novice,vocab,short-multi,16,4
847,13,novice,vocab,short-multi,17,1
848,13,novice,vocab,short-multi,18,4
849,13,novice,vocab,short-multi,19,3
850,13,novice,vocab,short-multi,20,1
851,13,novice,vocab,short-multi,21,2
852,13,novice,vocab,short-multi,22,2
853,13,novice,vocab,long-multi,25,1
854,13,novice,vocab,long-multi,26,3
855,13,novice,vocab,long-multi,27,1
856,13,novice,vocab,long-multi,28,4
857,13,novice,vocab,long-single,29,2
858,13,novice,vocab,long-single,30,3
859,13,novice,writing,short-multi,31,1
860,13,novice,writing,short-multi,32,3
861,13,novice,writing,short-multi,33,3
862,13,novice,writing,short-multi,34,4
863,13,novice,writing,short-multi,35,4
864,13,novice,writing,short-multi,38,2
865,14,novice,reading,short-single,37,1
866,14,novice,reading,short-single,38,4
867,14,novice,reading,short-single,39,2
868,14,novice,reading,short-single,40,3
869,14,novice,reading,long-single,57,3
870,14,novice,vocab,short-multi,3,1
871,14,novice,vocab,short-multi,5,3
872,14,novice,vocab,short-multi,6,3
873,14,novice,vocab,short-multi,7,4
874,14,novice,vocab,short-multi,8,4
875,14,novice,vocab,short-single,9,2
876,14,novice,vocab,short-single,10,1
877,14,novice,vocab,short-single,11,2
878,14,novice,vocab,short-single,12,1
879,14,novice,vocab,short-single,13,3
880,14,novice,vocab,short-single,14,4
881,14,novice,vocab,short-single,15,1
882,14,novice,vocab,short-multi,16,3
883,14,novice,vocab,short-multi,17,4
884,14,novice,vocab,short-multi,18,4
885,14,novice,vocab,short-multi,19,2
886,14,novice,vocab,short-multi,20,1
887,14,novice,vocab,short-multi,21,2
888,14,novice,vocab,short-multi,22,2
889,14,novice,vocab,long-multi,25,3
890,14,novice,vocab,long-multi,26,3
891,14,novice,vocab,long-multi,27,1
892,14,novice,vocab,long-multi,28,1
893,14,novice,vocab,long-single,29,3
894,14,novice,vocab,long-single,30,4
895,14,novice,writing,short-multi,31,1
896,14,novice,writing,short-multi,32,3
897,14,novice,writing,short-multi,33,2
898,14,novice,writing,short-multi,34,1
899,14,novice,writing,short-multi,35,2
900,14,novice,writing,long-single,38,3
901,15,novice,reading,short-single,37,2
902,15,novice,reading,short-single,38,4
903,15,novice,reading,short-single,39,3
904,15,novice,reading,short-single,40,1
905,15,novice,reading,long-single,51,4
906,15,novice,reading,long-single,55,2
907,15,novice,reading,long-single,57,2
908,15,novice,vocab,short-multi,3,1
909,15,novice,vocab,short-multi,5,4
910,15,novice,vocab,short-multi,6,3
911,15,novice,vocab,short-multi,7,2
912,15,novice,vocab,short-multi,8,4
913,15,novice,vocab,short-single,9,3
914,15,novice,vocab,short-single,10,2
915,15,novice,vocab,short-single,11,3
916,15,novice,vocab,short-single,12,4
917,15,novice,vocab,short-single,13,2
918,15,novice,vocab,short-single,14,4
919,15,novice,vocab,short-single,15,1
920,15,novice,vocab,short-multi,16,2
921,15,novice,vocab,short-multi,17,1
922,15,novice,vocab,short-multi,18,3
923,15,novice,vocab,short-multi,19,3
924,15,novice,vocab,short-multi,20,1
925,15,novice,vocab,short-multi,21,2
926,15,novice,vocab,short-multi,22,1
927,15,novice,vocab,long-multi,25,2
928,15,novice,vocab,long-multi,26,4
929,15,novice,vocab,long-multi,27,2
930,15,novice,vocab,long-multi,28,1
931,15,novice,vocab,long-single,29,1
932,15,novice,vocab,long-single,30,4
933,15,novice,writing,short-multi,31,3
934,15,novice,writing,short-multi,32,2
935,15,novice,writing,short-multi,33,3
936,15,novice,writing,short-multi,34,4
937,15,novice,writing,short-multi,35,1
938,15,novice,writing,long-single,38,1
939,16,novice,reading,short-single,37,1
940,16,novice,reading,short-single,38,4
941,16,novice,reading,short-single,39,3
942,16,novice,reading,short-single,40,1
943,16,novice,reading,long-single,51,2
944,16,novice,reading,long-single,55,4
945,16,novice,reading,long-single,57,1
946,16,novice,vocab,short-multi,3,3
947,16,novice,vocab,short-multi,4,1
948,16,novice,vocab,short-multi,6,2
949,16,novice,vocab,short-multi,7,2
950,16,novice,vocab,short-multi,8,4
951,16,novice,vocab,short-single,9,3
952,16,novice,vocab,short-single,10,4
953,16,novice,vocab,short-single,11,1
954,16,novice,vocab,short-single,12,2
955,16,novice,vocab,short-single,13,3
956,16,novice,vocab,short-single,14,4
957,16,novice,vocab,short-single,15,3
958,16,novice,vocab,short-multi,16,2
959,16,novice,vocab,short-multi,17,1
960,16,novice,vocab,short-multi,18,4
961,16,novice,vocab,short-multi,19,3
962,16,novice,vocab,short-multi,20,4
963,16,novice,vocab,short-multi,21,3
964,16,novice,vocab,short-multi,22,2
965,16,novice,vocab,long-multi,25,2
966,16,novice,vocab,long-multi,26,1
967,16,novice,vocab,long-multi,27,4
968,16,novice,vocab,long-multi,28,2
969,16,novice,vocab,long-single,29,1
970,16,novice,vocab,long-single,30,1
971,16,novice,writing,short-multi,31,1
972,16,novice,writing,short-multi,32,4
973,16,novice,writing,short-multi,33,3
974,16,novice,writing,short-multi,34,1
975,16,novice,writing,short-multi,35,4
976,16,novice,writing,long-single,38,2
977,17,novice,reading,short-single,37,1
978,17,novice,reading,short-single,38,2
979,17,novice,reading,short-single,39,3
980,17,novice,reading,short-single,40,1
981,17,novice,reading,long-single,55,2
982,17,novice,reading,long-single,57,3
983,17,novice,vocab,short-multi,3,4
984,17,novice,vocab,short-multi,6,4
985,17,novice,vocab,short-multi,7,3
986,17,novice,vocab,short-multi,8,3
987,17,novice,vocab,short-single,9,1
988,17,novice,vocab,short-single,10,4
989,17,novice,vocab,short-single,11,2
990,17,novice,vocab,short-single,12,1
991,17,novice,vocab,short-single,13,1
992,17,novice,vocab,short-single,14,2
993,17,novice,vocab,short-single,15,3
994,17,novice,vocab,short-multi,16,1
995,17,novice,vocab,short-multi,17,3
996,17,novice,vocab,short-multi,18,3
997,17,novice,vocab,short-multi,19,1
998,17,novice,vocab,short-multi,20,1
999,17,novice,vocab,short-multi,21,4
1000,17,novice,vocab,short-multi,22,2
1001,17,novice,vocab,long-multi,25,3
1002,17,novice,vocab,long-multi,26,2
1003,17,novice,vocab,long-multi,27,2
1004,17,novice,vocab,long-multi,28,1
1005,17,novice,vocab,long-single,29,4
1006,17,novice,vocab,long-single,30,4
1007,17,novice,writing,short-multi,31,4
1008,17,novice,writing,short-multi,32,1
1009,17,novice,writing,short-multi,33,3
1010,17,novice,writing,short-multi,34,2
1011,17,novice,writing,short-multi,35,2
1012,17,novice,writing,long-single,38,1
1013,18,novice,reading,short-single,37,2
1014,18,novice,reading,short-single,38,2
1015,18,novice,reading,short-single,39,2
1016,18,novice,reading,short-single,40,4
1017,18,novice,reading,long-single,55,1
1018,18,novice,reading,long-single,57,3
1019,18,novice,vocab,short-multi,3,3
1020,18,novice,vocab,short-multi,5,4
1021,18,novice,vocab,short-multi,6,2
1022,18,novice,vocab,short-multi,7,4
1023,18,novice,vocab,short-multi,8,1
1024,18,novice,vocab,short-single,9,2
1025,18,novice,vocab,short-single,10,4
1026,18,novice,vocab,short-single,11,2
1027,18,novice,vocab,short-single,12,4
1028,18,novice,vocab,short-single,13,2
1029,18,novice,vocab,short-single,14,3
1030,18,novice,vocab,short-single,15,1
1031,18,novice,vocab,short-multi,16,3
1032,18,novice,vocab,short-multi,17,1
1033,18,novice,vocab,short-multi,18,2
1034,18,novice,vocab,short-multi,19,3
1035,18,novice,vocab,short-multi,20,4
1036,18,novice,vocab,short-multi,21,1
1037,18,novice,vocab,short-multi,22,2
1038,18,novice,vocab,long-multi,25,2
1039,18,novice,vocab,long-multi,26,1
1040,18,novice,vocab,long-multi,27,2
1041,18,novice,vocab,long-multi,28,4
1042,18,novice,vocab,long-single,29,3
1043,18,novice,vocab,long-single,30,4
1044,18,novice,writing,short-multi,31,4
1045,18,novice,writing,short-multi,32,3
1046,18,novice,writing,short-multi,33,3
1047,18,novice,writing,short-multi,34,2
1048,18,novice,writing,short-multi,35,3
1049,18,novice,writing,long-single,38,1
1050,19,novice,reading,short-single,37,1
1051,19,novice,reading,short-single,38,4
1052,19,novice,reading,short-single,39,3
1053,19,novice,reading,short-single,40,1
1054,19,novice,reading,long-single,51,3
1055,19,novice,reading,long-single,55,3
1056,19,novice,reading,long-single,57,2
1057,19,novice,vocab,short-multi,4,2
1058,19,novice,vocab,short-multi,5,1
1059,19,novice,vocab,short-multi,6,2
1060,19,novice,vocab,short-multi,7,4
1061,19,novice,vocab,short-multi,8,1
1062,19,novice,vocab,short-single,9,3
1063,19,novice,vocab,short-single,10,2
1064,19,novice,vocab,short-single,11,3
1065,19,novice,vocab,short-single,12,4
1066,19,novice,vocab,short-single,13,1
1067,19,novice,vocab,short-single,14,2
1068,19,novice,vocab,short-single,15,1
1069,19,novice,vocab,short-multi,16,4
1070,19,novice,vocab,short-multi,17,3
1071,19,novice,vocab,short-multi,18,4
1072,19,novice,vocab,short-multi,19,1
1073,19,novice,vocab,short-multi,20,2
1074,19,novice,vocab,short-multi,21,3
1075,19,novice,vocab,short-multi,22,4
1076,19,novice,vocab,long-multi,25,2
1077,19,novice,vocab,long-multi,26,4
1078,19,novice,vocab,long-multi,27,1
1079,19,novice,vocab,long-multi,28,3
1080,19,novice,vocab,long-single,29,4
1081,19,novice,vocab,long-single,30,2
1082,19,novice,writing,short-multi,31,3
1083,19,novice,writing,short-multi,32,2
1084,19,novice,writing,short-multi,33,1
1085,19,novice,writing,short-multi,34,2
1086,19,novice,writing,short-multi,35,3
1087,19,novice,writing,short-multi,38,4
1088,20,novice,reading,short-single,37,3
1089,20,novice,reading,short-single,38,4
1090,20,novice,reading,short-single,39,3
1091,20,novice,reading,short-single,40,4
1092,20,novice,reading,long-single,51,3
1093,20,novice,reading,long-single,55,2
1094,20,novice,reading,long-single,57,3
1095,20,novice,vocab,short-multi,3,1
1096,20,novice,vocab,short-multi,4,2
1097,20,novice,vocab,short-multi,5,4
1098,20,novice,vocab,short-multi,6,1
1099,20,novice,vocab,short-multi,7,3
1100,20,novice,vocab,short-multi,8,4
1101,20,novice,vocab,short-single,9,3
1102,20,novice,vocab,short-single,10,1
1103,20,novice,vocab,short-single,11,4
1104,20,novice,vocab,short-single,12,2
1105,20,novice,vocab,short-single,13,1
1106,20,novice,vocab,short-single,14,3
1107,20,novice,vocab,short-single,15,4
1108,20,novice,vocab,short-multi,16,2
1109,20,novice,vocab,short-multi,17,3
1110,20,novice,vocab,short-multi,18,2
1111,20,novice,vocab,short-multi,19,2
1112,20,novice,vocab,short-multi,20,4
1113,20,novice,vocab,short-multi,21,1
1114,20,novice,vocab,short-multi,22,3
1115,20,novice,vocab,long-multi,25,1
1116,20,novice,vocab,long-multi,26,3
1117,20,novice,vocab,long-multi,27,4
1118,20,novice,vocab,long-multi,28,1
1119,20,novice,vocab,long-single,29,4
1120,20,novice,vocab,long-single,30,3
1121,20,novice,writing,short-multi,31,4
1122,20,novice,writing,short-multi,32,1
1123,20,novice,writing,short-multi,33,2
1124,20,novice,writing,short-multi,34,4
1125,20,novice,writing,short-multi,35,2
1126,20,novice,writing,long-single,38,4
1127,21,novice,reading,short-single,37,2
1128,21,novice,reading,short-single,38,4
1129,21,novice,reading,short-single,39,3
1130,21,novice,reading,short-single,40,3
1131,21,novice,reading,long-single,51,4
1132,21,novice,reading,long-single,55,4
1133,21,novice,reading,long-single,57,3
1134,21,novice,vocab,short-multi,3,4
1135,21,novice,vocab,short-multi,5,2
1136,21,novice,vocab,short-multi,6,1
1137,21,novice,vocab,short-multi,7,3
1138,21,novice,vocab,short-multi,8,1
1139,21,novice,vocab,short-single,9,2
1140,21,novice,vocab,short-single,10,4
1141,21,novice,vocab,short-single,11,3
1142,21,novice,vocab,short-single,12,2
1143,21,novice,vocab,short-single,13,3
1144,21,novice,vocab,short-single,14,1
1145,21,novice,vocab,short-single,15,3
1146,21,novice,vocab,short-multi,16,2
1147,21,novice,vocab,short-multi,17,2
1148,21,novice,vocab,short-multi,18,4
1149,21,novice,vocab,short-multi,19,4
1150,21,novice,vocab,short-multi,20,1
1151,21,novice,vocab,short-multi,21,3
1152,21,novice,vocab,short-multi,22,1
1153,21,novice,vocab,long-multi,25,1
1154,21,novice,vocab,long-multi,26,2
1155,21,novice,vocab,long-multi,27,1
1156,21,novice,vocab,long-multi,28,3
1157,21,novice,vocab,long-single,29,2
1158,21,novice,vocab,long-single,30,4
1159,21,novice,writing,short-multi,31,1
1160,21,novice,writing,short-multi,32,4
1161,21,novice,writing,short-multi,33,3
1162,21,novice,writing,short-multi,34,4
1163,21,novice,writing,short-multi,35,3
1164,21,novice,writing,long-single,38,3
1165,22,novice,reading,short-single,37,3
1166,22,novice,reading,short-single,38,2
1167,22,novice,reading,short-single,39,1
1168,22,novice,reading,short-single,40,2
1169,22,novice,reading,long-single,51,4
1170,22,novice,reading,long-single,55,4
1171,22,novice,reading,long-single,57,4
1172,22,novice,vocab,short-multi,3,1
1173,22,novice,vocab,short-multi,5,2
1174,22,novice,vocab,short-multi,6,1
1175,22,novice,vocab,short-multi,7,3
1176,22,novice,vocab,short-multi,8,2
1177,22,novice,vocab,short-single,9,1
1178,22,novice,vocab,short-single,10,2
1179,22,novice,vocab,short-single,11,3
1180,22,novice,vocab,short-single,12,4
1181,22,novice,vocab,short-single,13,3
1182,22,novice,vocab,short-single,14,2
1183,22,novice,vocab,short-single,15,4
1184,22,novice,vocab,short-multi,16,1
1185,22,novice,vocab,short-multi,17,4
1186,22,novice,vocab,short-multi,18,2
1187,22,novice,vocab,short-multi,19,3
1188,22,novice,vocab,short-multi,20,1
1189,22,novice,vocab,short-multi,21,1
1190,22,novice,vocab,short-multi,22,3
1191,22,novice,vocab,long-multi,25,4
1192,22,novice,vocab,long-multi,26,3
1193,22,novice,vocab,long-multi,27,1
1194,22,novice,vocab,long-multi,28,4
1195,22,novice,vocab,long-single,29,1
1196,22,novice,vocab,long-single,30,2
1197,22,novice,writing,short-multi,31,1
1198,22,novice,writing,short-multi,32,4
1199,22,novice,writing,short-multi,33,2
1200,22,novice,writing,short-multi,34,1
1201,22,novice,writing,short-multi,35,1
1202,22,novice,writing,long-single,38,2
1203,23,novice,reading,short-single,37,3
1204,23,novice,reading,short-single,38,1
1205,23,novice,reading,short-single,39,4
1206,23,novice,reading,short-single,40,2
1207,23,novice,reading,long-single,51,2
1208,23,novice,reading,long-single,55,4
1209,23,novice,reading,long-single,57,2
1210,23,novice,vocab,short-multi,3,2
1211,23,novice,vocab,short-multi,5,1
1212,23,novice,vocab,short-multi,6,3
1213,23,novice,vocab,short-multi,7,2
1214,23,novice,vocab,short-multi,8,1
1215,23,novice,vocab,short-single,9,4
1216,23,novice,vocab,short-single,10,3
1217,23,novice,vocab,short-single,11,4
1218,23,novice,vocab,short-single,12,3
1219,23,novice,vocab,short-single,13,4
1220,23,novice,vocab,short-single,14,1
1221,23,novice,vocab,short-single,15,2
1222,23,novice,vocab,short-multi,16,2
1223,23,novice,vocab,short-multi,17,3
1224,23,novice,vocab,short-multi,18,3
1225,23,novice,vocab,short-multi,19,1
1226,23,novice,vocab,short-multi,20,4
1227,23,novice,vocab,short-multi,21,2
1228,23,novice,vocab,short-multi,22,1
1229,23,novice,vocab,long-multi,25,1
1230,23,novice,vocab,long-multi,26,2
1231,23,novice,vocab,long-multi,27,3
1232,23,novice,vocab,long-multi,28,4
1233,23,novice,vocab,long-single,29,4
1234,23,novice,vocab,long-single,30,1
1235,23,novice,writing,short-multi,31,1
1236,23,novice,writing,short-multi,32,4
1237,23,novice,writing,short-multi,33,3
1238,23,novice,writing,short-multi,34,3
1239,23,novice,writing,short-multi,35,4
1240,23,novice,writing,long-single,38,1
1241,24,novice,reading,short-single,37,3
1242,24,novice,reading,short-single,38,1
1243,24,novice,reading,short-single,39,2
1244,24,novice,reading,short-single,40,3
1245,24,novice,reading,long-single,51,3
1246,24,novice,reading,long-single,55,1
1247,24,novice,reading,long-single,57,1
1248,24,novice,vocab,short-multi,4,3
1249,24,novice,vocab,short-multi,5,3
1250,24,novice,vocab,short-multi,6,4
1251,24,novice,vocab,short-multi,7,3
1252,24,novice,vocab,short-multi,8,1
1253,24,novice,vocab,short-single,9,4
1254,24,novice,vocab,short-single,10,1
1255,24,novice,vocab,short-single,11,3
1256,24,novice,vocab,short-single,12,4
1257,24,novice,vocab,short-single,13,3
1258,24,novice,vocab,short-single,14,2
1259,24,novice,vocab,short-single,15,2
1260,24,novice,vocab,short-multi,16,3
1261,24,novice,vocab,short-multi,17,1
1262,24,novice,vocab,short-multi,18,1
1263,24,novice,vocab,short-multi,19,2
1264,24,novice,vocab,short-multi,20,1
1265,24,novice,vocab,short-multi,21,2
1266,24,novice,vocab,short-multi,22,3
1267,24,novice,vocab,long-multi,25,4
1268,24,novice,vocab,long-multi,26,1
1269,24,novice,vocab,long-multi,27,2
1270,24,novice,vocab,long-multi,28,4
1271,24,novice,vocab,long-single,29,4
1272,24,novice,vocab,long-single,30,2
1273,24,novice,writing,short-multi,31,1
1274,24,novice,writing,short-multi,32,4
1275,24,novice,writing,short-multi,33,4
1276,24,novice,writing,short-multi,34,3
1277,24,novice,writing,short-multi,35,1
1278,24,novice,writing,long-single,38,2
1279,25,novice,reading,short-single,37,2
1280,25,novice,reading,short-single,38,3
1281,25,novice,reading,short-single,39,2
1282,25,novice,reading,short-single,40,1
1283,25,novice,reading,long-single,51,4
1284,25,novice,reading,long-single,55,2
1285,25,novice,reading,long-single,57,2
1286,25,novice,vocab,short-multi,4,1
1287,25,novice,vocab,short-multi,5,4
1288,25,novice,vocab,short-multi,6,2
1289,25,novice,vocab,short-multi,7,4
1290,25,novice,vocab,short-multi,8,1
1291,25,novice,vocab,short-single,9,3
1292,25,novice,vocab,short-single,10,1
1293,25,novice,vocab,short-single,11,4
1294,25,novice,vocab,short-single,12,1
1295,25,novice,vocab,short-single,13,2
1296,25,novice,vocab,short-single,14,1
1297,25,novice,vocab,short-single,15,4
1298,25,novice,vocab,short-multi,16,2
1299,25,novice,vocab,short-multi,17,2
1300,25,novice,vocab,short-multi,18,3
1301,25,novice,vocab,short-multi,19,4
1302,25,novice,vocab,short-multi,20,2
1303,25,novice,vocab,short-multi,21,1
1304,25,novice,vocab,short-multi,22,3
1305,25,novice,vocab,long-multi,25,2
1306,25,novice,vocab,long-multi,26,3
1307,25,novice,vocab,long-multi,27,3
1308,25,novice,vocab,long-multi,28,1
1309,25,novice,vocab,long-single,29,2
1310,25,novice,vocab,long-single,30,3
1311,25,novice,writing,short-multi,31,4
1312,25,novice,writing,short-multi,32,1
1313,25,novice,writing,short-multi,33,2
1314,25,novice,writing,short-multi,34,4
1315,25,novice,writing,short-multi,35,4
1316,25,novice,writing,short-multi,38,2
1317,26,novice,reading,short-single,37,3
1318,26,novice,reading,short-single,38,1
1319,26,novice,reading,short-single,39,3
1320,26,novice,reading,short-single,40,1
1321,26,novice,reading,long-single,51,1
1322,26,novice,reading,long-single,55,3
1323,26,novice,reading,long-single,57,2
1324,26,novice,vocab,short-multi,3,4
1325,26,novice,vocab,short-multi,5,1
1326,26,novice,vocab,short-multi,6,2
1327,26,novice,vocab,short-multi,7,4
1328,26,novice,vocab,short-multi,8,1
1329,26,novice,vocab,short-single,9,1
1330,26,novice,vocab,short-single,10,1
1331,26,novice,vocab,short-single,11,2
1332,26,novice,vocab,short-single,12,1
1333,26,novice,vocab,short-single,13,2
1334,26,novice,vocab,short-single,14,4
1335,26,novice,vocab,short-single,15,1
1336,26,novice,vocab,short-multi,16,3
1337,26,novice,vocab,short-multi,17,3
1338,26,novice,vocab,short-multi,18,2
1339,26,novice,vocab,short-multi,19,4
1340,26,novice,vocab,short-multi,20,3
1341,26,novice,vocab,short-multi,21,1
1342,26,novice,vocab,short-multi,22,2
1343,26,novice,vocab,long-multi,25,4
1344,26,novice,vocab,long-multi,26,3
1345,26,novice,vocab,long-multi,27,4
1346,26,novice,vocab,long-multi,28,2
1347,26,novice,vocab,long-single,29,3
1348,26,novice,vocab,long-single,30,1
1349,26,novice,writing,short-multi,31,4
1350,26,novice,writing,short-multi,32,2
1351,26,novice,writing,short-multi,33,1
1352,26,novice,writing,short-multi,34,3
1353,26,novice,writing,short-multi,35,2
1354,26,novice,writing,long-single,38,4
1355,27,novice,reading,short-single,37,1
1356,27,novice,reading,short-single,38,2
1357,27,novice,reading,short-single,39,4
1358,27,novice,reading,short-single,40,4
1359,27,novice,reading,long-single,51,1
1360,27,novice,reading,long-single,55,2
1361,27,novice,reading,long-single,57,3
1362,27,novice,vocab,short-multi,4,4
1363,27,novice,vocab,short-multi,5,3
1364,27,novice,vocab,short-multi,6,1
1365,27,novice,vocab,short-multi,7,1
1366,27,novice,vocab,short-multi,8,4
1367,27,novice,vocab,short-single,9,2
1368,27,novice,vocab,short-single,10,3
1369,27,novice,vocab,short-single,11,3
1370,27,novice,vocab,short-single,12,4
1371,27,novice,vocab,short-single,13,1
1372,27,novice,vocab,short-single,14,4
1373,27,novice,vocab,short-single,15,1
1374,27,novice,vocab,short-multi,16,2
1375,27,novice,vocab,short-multi,17,1
1376,27,novice,vocab,short-multi,18,2
1377,27,novice,vocab,short-multi,19,3
1378,27,novice,vocab,short-multi,20,1
1379,27,novice,vocab,short-multi,21,4
1380,27,novice,vocab,short-multi,22,2
1381,27,novice,vocab,long-multi,25,3
1382,27,novice,vocab,long-multi,26,3
1383,27,novice,vocab,long-multi,27,2
1384,27,novice,vocab,long-multi,28,3
1385,27,novice,vocab,long-single,29,2
1386,27,novice,vocab,long-single,30,1
1387,27,novice,writing,short-multi,31,4
1388,27,novice,writing,short-multi,32,2
1389,27,novice,writing,short-multi,33,1
1390,27,novice,writing,short-multi,34,3
1391,27,novice,writing,short-multi,35,2
1392,27,novice,writing,long-single,38,4
1393,28,novice,reading,short-single,37,3
1394,28,novice,reading,short-single,38,4
1395,28,novice,reading,short-single,39,4
1396,28,novice,reading,short-single,40,2
1397,28,novice,reading,long-single,51,3
1398,28,novice,reading,long-single,55,1
1399,28,novice,reading,long-single,57,2
1400,28,novice,vocab,short-multi,4,2
1401,28,novice,vocab,short-multi,5,2
1402,28,novice,vocab,short-multi,6,3
1403,28,novice,vocab,short-multi,7,1
1404,28,novice,vocab,short-multi,8,2
1405,28,novice,vocab,short-single,9,3
1406,28,novice,vocab,short-single,10,1
1407,28,novice,vocab,short-single,11,3
1408,28,novice,vocab,short-single,12,4
1409,28,novice,vocab,short-single,13,1
1410,28,novice,vocab,short-single,14,4
1411,28,novice,vocab,short-single,15,1
1412,28,novice,vocab,short-multi,16,1
1413,28,novice,vocab,short-multi,17,2
1414,28,novice,vocab,short-multi,18,3
1415,28,novice,vocab,short-multi,19,2
1416,28,novice,vocab,short-multi,20,1
1417,28,novice,vocab,short-multi,21,2
1418,28,novice,vocab,short-multi,22,4
1419,28,novice,vocab,long-multi,25,4
1420,28,novice,vocab,long-multi,26,3
1421,28,novice,vocab,long-multi,27,3
1422,28,novice,vocab,long-multi,28,4
1423,28,novice,vocab,long-single,29,2
1424,28,novice,vocab,long-single,30,4
1425,28,novice,writing,short-multi,31,2
1426,28,novice,writing,short-multi,32,3
1427,28,novice,writing,short-multi,33,4
1428,28,novice,writing,short-multi,34,3
1429,28,novice,writing,short-multi,35,4
1430,28,novice,writing,long-single,38,1
1431,29,novice,reading,short-single,37,1
1432,29,novice,reading,short-single,38,2
1433,29,novice,reading,short-single,39,4
1434,29,novice,reading,short-single,40,4
1435,29,novice,reading,long-single,51,1
1436,29,novice,reading,long-single,55,2
1437,29,novice,reading,long-single,57,1
1438,29,novice,vocab,short-multi,3,3
1439,29,novice,vocab,short-multi,4,1
1440,29,novice,vocab,short-multi,5,2
1441,29,novice,vocab,short-multi,6,1
1442,29,novice,vocab,short-multi,7,4
1443,29,novice,vocab,short-multi,8,2
1444,29,novice,vocab,short-single,9,3
1445,29,novice,vocab,short-single,10,2
1446,29,novice,vocab,short-single,11,1
1447,29,novice,vocab,short-single,12,3
1448,29,novice,vocab,short-single,13,1
1449,29,novice,vocab,short-single,14,2
1450,29,novice,vocab,short-single,15,4
1451,29,novice,vocab,short-multi,16,2
1452,29,novice,vocab,short-multi,17,3
1453,29,novice,vocab,short-multi,18,3
1454,29,novice,vocab,short-multi,19,2
1455,29,novice,vocab,short-multi,20,4
1456,29,novice,vocab,short-multi,21,1
1457,29,novice,vocab,short-multi,22,4
1458,29,novice,vocab,long-multi,25,4
1459,29,novice,vocab,long-multi,26,2
1460,29,novice,vocab,long-multi,27,1
1461,29,novice,vocab,long-multi,28,4
1462,29,novice,vocab,long-single,29,2
1463,29,novice,vocab,long-single,30,3
1464,29,novice,writing,short-multi,31,1
1465,29,novice,writing,short-multi,32,3
1466,29,novice,writing,short-multi,33,4
1467,29,novice,writing,short-multi,34,3
1468,29,novice,writing,short-multi,35,1
1469,29,novice,writing,long-single,38,1
1470,30,novice,reading,short-single,37,1
